year,industry_ng_share,1A1a_ng_point,1A1a_ng_low,1A1a_ng_high,1A1b_ng_point,1A1b_ng_low,1A1b_ng_high,1A1cii_ng_point,1A1cii_ng_low,1A1cii_ng_high,nm_ng_point,nm_ng_low,nm_ng_high,1A2i_ng_point,1A2i_ng_low,1A2i_ng_high,1A2miii_ng_point,1A2miii_ng_low,1A2miii_ng_high,other_ng_point,other_ng_low,other_ng_high
2014,0.5140958502522492,0.846762884084833,0.826762884084833,0.866762884084833,0.5,0.4,0.6,0.8,0.7,0.9,0.1915927413630404,0.1436945560222803,0.24151614324295848,0.12,0.05,0.2,0.2,0.1,0.35,0.5140958502522492,0.46409585025224925,0.5640958502522493
2015,0.47133237456299115,0.846762884084833,0.826762884084833,0.866762884084833,0.5,0.4,0.6,0.8,0.7,0.9,0.1915927413630404,0.1436945560222803,0.24151614324295848,0.12,0.05,0.2,0.2,0.1,0.35,0.47133237456299115,0.42133237456299116,0.5213323745629912
2016,0.5488884599132035,0.846762884084833,0.826762884084833,0.866762884084833,0.5,0.4,0.6,0.8,0.7,0.9,0.1915927413630404,0.1436945560222803,0.24151614324295848,0.12,0.05,0.2,0.2,0.1,0.35,0.5488884599132035,0.49888845991320346,0.5988884599132035
2017,0.4856475144311503,0.846762884084833,0.826762884084833,0.866762884084833,0.5,0.4,0.6,0.8,0.7,0.9,0.1915927413630404,0.1436945560222803,0.24151614324295848,0.12,0.05,0.2,0.2,0.1,0.35,0.4856475144311503,0.4356475144311503,0.5356475144311503
2018,0.48752623163408,0.846762884084833,0.826762884084833,0.866762884084833,0.5,0.4,0.6,0.8,0.7,0.9,0.1915927413630404,0.1436945560222803,0.24151614324295848,0.12,0.05,0.2,0.2,0.1,0.35,0.48752623163408,0.43752623163408,0.53752623163408
2019,0.4579470674045969,0.846762884084833,0.826762884084833,0.866762884084833,0.5,0.4,0.6,0.8,0.7,0.9,0.1915927413630404,0.1436945560222803,0.24151614324295848,0.12,0.05,0.2,0.2,0.1,0.35,0.4579470674045969,0.4079470674045969,0.5079470674045969
2020,0.37863525249519314,0.846762884084833,0.826762884084833,0.866762884084833,0.5,0.4,0.6,0.8,0.7,0.9,0.1915927413630404,0.1436945560222803,0.24151614324295848,0.12,0.05,0.2,0.2,0.1,0.35,0.37863525249519314,0.32863525249519315,0.42863525249519313
2021,0.39756707823501924,0.846762884084833,0.826762884084833,0.866762884084833,0.5,0.4,0.6,0.8,0.7,0.9,0.18278308245459268,0.13708731184094453,0.23352270378756215,0.12,0.05,0.2,0.2,0.1,0.35,0.39756707823501924,0.34756707823501926,0.44756707823501923
2022,0.4605642976663021,0.846762884084833,0.826762884084833,0.866762884084833,0.5,0.4,0.6,0.8,0.7,0.9,0.17646367568413088,0.13234775676309815,0.22579811778976788,0.12,0.05,0.2,0.2,0.1,0.35,0.4605642976663021,0.4105642976663021,0.5105642976663021
2023,0.5534612969461042,0.846762884084833,0.826762884084833,0.866762884084833,0.5,0.4,0.6,0.8,0.7,0.9,0.165271738957977,0.12395380421848276,0.21247957540670906,0.12,0.05,0.2,0.2,0.1,0.35,0.5534612969461042,0.5034612969461042,0.6034612969461043
2024,0.5563315097034485,0.846762884084833,0.826762884084833,0.866762884084833,0.5,0.4,0.6,0.8,0.7,0.9,0.1915927413630404,0.1436945560222803,0.24151614324295848,0.12,0.05,0.2,0.2,0.1,0.35,0.5563315097034485,0.5063315097034484,0.6063315097034485
