ETS sector (English),ETS sector (Spanish — DOF),Total allocation (MtCO₂),  Combustion component (MtCO₂),  Process CO₂ (MtCO₂),NG share — central (%),NG CO₂ in ETS (MtCO₂),Overlap contribution (MtCO₂),Extrapolated (2022–2024)
Electricity generation,Generación de electricidad,130.75,130.75,0.0,84.7,110.71,20.04,Yes
Cement,Cemento,32.25,2.73,29.52,16.5,0.45,2.28,Yes
Oil and gas (upstream),Petróleo y Gas,31.41,31.41,0.0,80.0,25.13,6.28,Yes
Petroleum refining,Refinación,19.23,19.23,0.0,50.0,9.61,9.61,Yes
Iron and steel,Hierro y Acero,18.97,7.55,11.42,55.3,4.18,3.37,Yes
Other industries,Otros,10.64,10.64,0.0,55.3,5.89,4.75,Yes
Food and beverages,Alimentos y Bebidas,8.58,8.58,0.0,55.3,4.75,3.83,Yes
Chemical industry,Industria Química,7.91,6.3,1.61,55.3,3.49,2.82,Yes
Petrochemicals,Petroquímica,6.44,5.29,1.15,55.3,2.93,2.36,Yes
Glass,Vidrio,2.88,1.84,1.05,16.5,0.3,1.53,Yes
Pulp and paper,Papel,2.47,2.45,0.02,55.3,1.36,1.09,Yes
Mining,Minería,1.82,1.82,0.0,12.0,0.22,1.6,Yes
Lime,Cal,0.64,0.2,0.44,16.5,0.03,0.17,Yes
