year,inecc_1A_total_mt,ng_co2_point_mt,ng_co2_low_mt,ng_co2_high_mt,ctax_coverage_point_mt,ctax_coverage_low_mt,ctax_coverage_high_mt,ng_power_mt,ng_refining_mt,ng_og_mt,ng_industry_mt,ng_residual_mt
2014,411.73497217339377,186.02205507902374,171.22259642157545,204.30024002607993,225.71291709437003,207.43473214731384,240.51237575181833,121.4379309486242,6.72729286874635,21.138190803990643,28.02182473364266,8.696815724019876
2015,455.22260412554414,190.11062370828833,173.98203031275966,210.41984735646832,265.11198041725584,244.8027567690758,281.2405738127845,123.14443053948717,5.8984604053398,21.138190803990643,29.47796632784226,10.451575631628433
2016,483.1158488453618,214.56014424721693,197.93453908954183,235.4992584860562,268.55570459814487,247.61659035930563,285.18130975582,145.2616953368088,6.3511498407115,20.7150383629452,31.44848800384113,10.783772702910312
2017,472.9497244531591,204.9832407087485,188.7613707040509,225.4062480500524,267.9664837444106,247.5434764031067,284.18835374910816,139.13600314637438,5.4147990298823,18.615950062699678,31.313645128276573,10.502843341515595
2018,476.8257177781479,202.53781052826832,186.67002860939218,222.8317310021244,274.2879072498796,253.99398677602352,290.15568916875577,142.23388395491278,4.608672805239015,16.49564680109952,28.134260579567165,11.065346387449843
2019,469.4932163528892,205.1339858887443,189.3569511744131,225.0193415356246,264.3592304641449,244.4738748172646,280.1362651784761,144.75929717644283,5.11933898382945,16.439112467167202,28.54543492993228,10.270802331372565
2020,385.68868886205655,173.64358918162407,160.51390481395845,189.81134971725558,212.0450996804325,195.87733914480097,225.1747840480981,124.89850089373691,4.243507603436415,14.14415828651432,22.7622319780217,7.595190419914729
2021,423.7934488959728,172.54838649036378,158.17144844921162,190.76107790857233,251.24506240560902,233.03237098740047,265.62200044676115,119.57322028046285,4.745200822679325,12.55782155871984,26.0827603858608,9.589383442640948
2022,426.77950817767,172.27788279167706,157.77435285242302,190.78425501908043,254.50162538599292,235.99525315858955,269.00515532524696,115.16207831627958,5.1719390558435,11.684565180062801,30.2521945191178,10.007105720373382
2023,418.8662951529214,172.12946121809068,158.03010173964006,190.27300265444674,246.7368339348307,228.59329249847465,260.8361934132813,113.20505434686284,5.125587,11.174638400000001,32.51372657646419,10.110454894763652
2024,435.8268785595564,185.7775514021957,171.28366224885409,204.32552547678353,250.0493271573607,231.50135308277288,264.5432163107023,125.72575697656372,5.125587,11.174638400000001,33.61635672251642,10.135212303115571
