source,sector,subsector,ipcc_code,co2_gg,ch4_gg,n2o_gg,black_carbon_gg,hfc_gg,co2e_gg,gwp_co2,gwp_ch4,gwp_n2o,gwp_bc,notes,in_federal_tax,in_state_tax,nat_gas_exempt_partial,data_quality,scope_notes
IMADES_2019,Energy,Electricity generation,1A1ai,7034.06,0.15,0.02,0.09,,7128.0,1,28,265,900,CFE Manzanillo thermoelectric; nat gas + fuel oil + diesel,True,,True,good,CFE Manzanillo uses nat gas (exempt from federal tax) + fuel oil/diesel. Federal tax applies to fuel oil/diesel portion only. State tax scope depends on whether Colima law covers power generation — FLAG FOR LEGAL REVIEW.
IMADES_2019,Energy,Energy generation plants (biogas),1A1aiii,0.33,0.3,0.0,0.0,,9.0,1,28,265,900,Biodigesters across municipalities,False,False,False,good,"Biogas combustion; not fossil fuel, not subject to either tax."
IMADES_2019,Energy,Manufacturing - cement and lime,1A2f_cement,231.76,0.01,0.0,0.01,,244.3,1,28,265,900,Part of non-metallic minerals group,True,True,True,good,Combustion emissions only (process emissions handled under IPPU). Nat gas portion exempt from federal tax.
IMADES_2019,Energy,Manufacturing - food and beverage,1A2e,267.08,0.03,0.0,0.01,,279.1,1,28,265,900,,True,True,True,good,Nat gas portion exempt from federal tax.
IMADES_2019,Energy,Manufacturing - metallurgical (steel),1A2a,270.01,0.01,0.02,0.0,,275.3,1,28,265,900,Peña Colorada and Las Encinas pellet plants,True,True,False,good,"Pellet plants (Peña Colorada, Las Encinas) use nat gas primarily — mostly exempt from federal tax. State tax likely in scope."
IMADES_2019,Energy,Manufacturing - non-metallic minerals,1A2f,659.99,1.43,0.02,0.0,,705.6,1,28,265,900,Excludes cement/lime counted separately,True,True,True,good,Nat gas portion exempt from federal tax.
IMADES_2019,Energy,Manufacturing - other industries,1A2m,423.8,0.23,0.0,0.0,,431.3,1,28,265,900,,True,True,True,good,Nat gas portion exempt from federal tax.
IMADES_2019,Energy,Manufacturing - petroleum/petrochemical,1A2m_petro,7.35,0.19,0.0,0.0,,13.7,1,28,265,900,,True,True,True,good,
IMADES_2019,Energy,Manufacturing - chemical,1A2c,0.12,0.0,0.0,0.0,,0.1,1,28,265,900,,True,True,True,good,
IMADES_2019,Energy,Manufacturing - hazardous waste treatment,1A2m_hwt,0.14,0.0,0.0,0.0,,0.1,1,28,265,900,,True,True,False,good,Small; likely below state tax threshold.
IMADES_2019,Energy,Civil aviation,1A3a,16.6,0.0,0.0,0.0,,17.4,1,28,265,900,Manzanillo + Colima airports,True,False,False,good,Federal tax on jet fuel (turbosine) applies. Mobile source; not state tax.
IMADES_2019,Energy,Railways,1A3c,33.49,0.0,0.01,0.0,,41.5,1,28,265,900,,True,False,False,good,Mobile source; not state tax.
IMADES_2019,Energy,Water-borne navigation,1A3d,66.97,0.01,0.0,0.03,,94.7,1,28,265,900,Port of Manzanillo,True,False,False,good,Mobile source; not state tax. Port of Manzanillo.
IMADES_2019,Energy,Road transportation,1A3b,3610.17,0.46,0.14,2.13,,5577.9,1,28,265,900,MOVES-Mexico model; Tier 3,True,False,False,good,Federal tax on gasoline/diesel applies. Mobile source; not state tax.
IMADES_2019,Energy,Residential,1A4b,133.99,0.23,0.0,0.05,,189.1,1,28,265,900,LP gas + kerosene + firewood,True,False,False,good,Federal tax on LP gas/diesel applies. Not typically in scope for state tax.
IMADES_2019,Energy,Commercial/institutional,1A4a,13.69,0.0,0.0,0.0,,13.8,1,28,265,900,LP gas + diesel,True,False,False,good,Federal tax applies. Below typical state tax thresholds.
IMADES_2019,Energy,Agriculture/forestry/fishing,1A4c,33.1,0.0,0.0,0.02,,49.9,1,28,265,900,Diesel + LP gas,True,False,False,good,Federal tax applies; mobile and small-scale stationary.
