subsector,in_state_tax_scope,overlap_federal_tax,overlap_ets_pilot,co2e_gg_2015,note,taxable_co2e_gg_note
Electricity generation,True,True,True,7128.0,"Diesel fraction only (~16,951 TJ); NG (98,435 TJ) exempt both taxes",Taxable (diesel+FO) fraction: ~1238 GgCO2 of 7034 GgCO2 total
Energy generation plants,True,False,False,9.0,Biogas — zero-carbon accounting; effectively untaxed,
Manuf — Cement and lime,True,True,True,244.4,Process emissions (IPPU) excluded; combustion fuels in scope,
Manuf — Food and beverage,True,True,False,279.1,Below ETS threshold likely; all combustion fuels in scope,
Manuf — Metallurgical,True,True,True,275.3,"Large facilities (Peña Colorada, Las Encinas) likely ETS-eligible",
Manuf — Non-metallic minerals,True,True,False,705.6,Various small facilities; combustion fuels in scope,
Manuf — Other industries,True,True,False,431.3,Mixed; combustion fuels in scope,
Manuf — Petroleum/petrochem,True,True,False,13.7,Small; in scope,
Manuf — Chemical,True,True,False,0.1,Negligible; in scope,
Manuf — Hazardous waste treat,True,True,False,0.1,Negligible,
Transport — Road,False,True,False,5577.9,Federal IEPS covers road fuels; state tax typically excludes mobile sources,
Transport — Water navigation,False,True,False,94.7,Marine diesel — federal only,
Transport — Railways,False,True,False,41.5,Diesel — federal only,
Transport — Civil aviation,False,True,False,17.4,Turbosine — federal only,
Residential,True,True,False,189.1,LP gas and firewood; firewood technically exempt; LP gas taxed,
Commercial,True,True,False,13.8,LP gas in scope,
Agriculture/forestry/fishing,True,True,False,49.9,Diesel and LP gas; agricultural diesel may have state exemptions,
Cement production (IPPU),False,False,True,408.8,Process CO2 from calcination — not a combustion tax; ETS only,
Lime production (IPPU),False,False,False,21.1,Process CO2; small facility,
Iron production (IPPU),False,False,True,136.6,Process emissions from pelletization; ETS-eligible facilities,
Use of products (HFCs),False,False,False,157.2,HFCs — not covered by any carbon pricing instrument,
AFOLU (all subsectors),False,False,False,1879.0,Agriculture/land/livestock — outside carbon tax and ETS scope,
Waste (all subsectors),False,False,False,464.0,Waste sector — outside scope,
