year,instrument_pair,co2e_low_gg,co2e_central_gg,co2e_high_gg,share_state_low_pct,share_state_cen_pct,share_state_high_pct,tier,note
2025,Colima state tax — total coverage,2347.4,3518.3,4415.4,11.2,19.4,26.9,"Tier 3 (stationary combustion) / Tier 4 (transport, total state)",Stationary combustion (taxed fuels only; NG exempt)
2025,Colima state tax ∩ Mexico federal carbon tax,2340.1,3508.3,4403.3,11.1,19.3,26.8,"Tier 3 (stationary combustion) / Tier 4 (transport, total state)",100% overlap: all fuels in state scope also taxed upstream by federal tax
2025,Colima state tax ∩ Mexico Pilot ETS (legal),918.8,1616.0,2107.8,4.4,8.9,12.9,"Tier 3 (stationary combustion) / Tier 4 (transport, total state)","Large stationary emitters (electricity diesel, metallurgical); ETS is non-binding pilot — legal/operational coverage diverges"
2025,Mexico federal carbon tax — Colima coverage (context),6905.0,9679.7,11911.6,32.8,53.4,72.6,"Tier 3 (stationary combustion) / Tier 4 (transport, total state)",Approx: state scope + road transport; excludes NG
2025,Colima total state emissions (context),16402.8,18137.0,21048.7,77.9,100.0,128.3,"Tier 3 (stationary combustion) / Tier 4 (transport, total state)",Approximate: 2015 base extrapolated at blended sector rates
2026,Colima state tax — total coverage,2267.1,3525.6,4523.6,10.6,19.4,27.9,"Tier 3 (stationary combustion) / Tier 4 (transport, total state)",Stationary combustion (taxed fuels only; NG exempt)
2026,Colima state tax ∩ Mexico federal carbon tax,2259.9,3515.6,4511.1,10.6,19.4,27.8,"Tier 3 (stationary combustion) / Tier 4 (transport, total state)",100% overlap: all fuels in state scope also taxed upstream by federal tax
2026,Colima state tax ∩ Mexico Pilot ETS (legal),862.2,1600.8,2142.9,4.0,8.8,13.2,"Tier 3 (stationary combustion) / Tier 4 (transport, total state)","Large stationary emitters (electricity diesel, metallurgical); ETS is non-binding pilot — legal/operational coverage diverges"
2026,Mexico federal carbon tax — Colima coverage (context),6733.5,9748.7,12244.7,31.5,53.8,75.4,"Tier 3 (stationary combustion) / Tier 4 (transport, total state)",Approx: state scope + road transport; excludes NG
2026,Colima total state emissions (context),16238.7,18137.0,21364.5,76.0,100.0,131.6,"Tier 3 (stationary combustion) / Tier 4 (transport, total state)",Approximate: 2015 base extrapolated at blended sector rates
