ipcc_code,description,emissions_GgCO2e,CO2_GgCO2e,CH4_GgCO2e,N2O_GgCO2e,HFC_GgCO2e,notes,sector_group
1A1a,Generacion de electricidad,3316.22,3313.07,1.61,1.54,0.0,All [1A1] is electricity generation; no refining or solid fuel manufacturing in state,electricity_generation
1A2a,Hierro y acero,22.54,22.52,0.01,0.01,0.0,,manufacturing
1A2b,Metales no ferrosos,18.72,18.7,0.01,0.01,0.0,,manufacturing
1A2c,Sustancias quimicas,14.78,14.74,0.02,0.03,0.0,,manufacturing
1A2d,Pulpa papel e imprenta,292.79,292.51,0.14,0.14,0.0,Largest manufacturing subsector 33.2%,manufacturing
1A2e,Procesamiento de alimentos bebidas y tabaco,266.33,265.84,0.19,0.29,0.0,Second largest 30.2%,manufacturing
1A2f,Minerales no metalicos,30.02,29.99,0.02,0.02,0.0,,manufacturing
1A2g,Equipo de transporte,6.08,6.07,0.0,0.0,0.0,,manufacturing
1A2h,Maquinaria,0.03,0.03,0.0,0.0,0.0,,manufacturing
1A2i,Mineria (excl combustibles) y canteria,70.48,70.26,0.08,0.15,0.0,,manufacturing
1A2j,Madera y productos de la madera,127.8,121.59,2.75,3.47,0.0,Durango is Mexico top lumber producer; distributed,manufacturing
1A2k,Construccion,3.11,3.09,0.01,0.02,0.0,,manufacturing
1A2l,Textiles y cueros,12.8,12.79,0.01,0.01,0.0,,manufacturing
1A2m,Industria no especificada,17.25,17.23,0.01,0.01,0.0,,manufacturing
1A3a,Aviacion civil,22.63,22.46,0.0,0.16,0.0,,transport
1A3b,Transporte terrestre,2865.61,2764.05,14.98,86.58,0.0,479139 vehicles; gasoline dominant,transport
1A3c,Ferrocarriles,4.76,4.31,0.01,0.45,0.0,,transport
1A4a,Comercial e institucional,69.67,69.44,0.18,0.06,0.0,,other_energy
1A4b,Residencial,83.28,49.57,29.93,3.78,0.0,LPG drives GHG; fuelwood drives energy use,other_energy
1A4c,Agricultura,0.8,0.8,0.0,0.0,0.0,Combustion in agricultural sector,other_energy
1A5,Sector no especificado,0.5,0.49,0.0,0.0,0.0,,non_specified
1B2a,Petroleo,0.09,0.09,0.0,0.0,0.0,,fugitive
1B2b,Gas natural,102.68,0.06,102.62,0.0,0.0,Almost entirely CH4,fugitive
2C2,Produccion de ferroaleaciones,48.9,47.76,1.15,0.0,0.0,Large facilities likely above ETS threshold,piup_metals
2C5,Produccion de plomo,0.59,0.59,0.0,0.0,0.0,,piup_metals
2D1,Uso de lubricantes,0.3,0.3,0.0,0.0,0.0,,piup_lubricants
2F1a_res,Refrigeracion y AC sector residencial,11.56,0.0,0.0,0.0,11.56,,piup_hfcs
2F1a_com,Refrigeracion y AC sector comercios y servicios,53.65,0.0,0.0,0.0,53.65,,piup_hfcs
2F1a_ind,Refrigeracion y AC sector industrial,1.84,0.0,0.0,0.0,1.84,,piup_hfcs
3A1,Fermentacion enterica,2983.73,0.0,2983.73,0.0,0.0,,afolu
3A2,Manejo de excretas,559.11,0.0,247.81,311.3,0.0,,afolu
3C1,Quema de biomasa,370.25,0.0,243.24,127.0,0.0,,afolu
3C3,Aplicacion de urea,5.38,5.38,0.0,0.0,0.0,,afolu
3C4,Emisiones directas N2O suelos gestionados,633.41,0.0,0.0,633.41,0.0,,afolu
3C5,Emisiones indirectas N2O suelos,175.93,0.0,0.0,175.93,0.0,,afolu
3C6,Emisiones indirectas N2O por SME,151.01,0.0,0.0,151.01,0.0,,afolu
4A1,Sitios gestionados (municipales),322.05,0.0,322.05,0.0,0.0,,waste
4A2,Sitios gestionados (otros),36.32,0.0,36.32,0.0,0.0,,waste
4A3,Sitios gestionados (industrial),32.17,0.0,32.17,0.0,0.0,,waste
4C2,Incineracion abierta de residuos,35.19,18.31,13.85,3.03,0.0,,waste
4D1,Aguas residuales domesticas,248.67,0.0,173.24,75.42,0.0,,waste
4D2,Aguas residuales industriales,133.94,0.0,123.33,10.6,0.0,,waste
