year,scenario,segment,GgCO2e,pct_of_state,content_description,estimation_tier
2022,central,S∩F∩E — all three instruments,195.8,1.48,Elec (diesel/FO fraction) + manuf (taxable fuels at large plants),Tier 3
2022,central,S∩E only — state tax + ETS,3848.0,29.15,"Electricity (NG fraction, 99.6%) + manufacturing NG at large plants",Tier 3
2022,central,S∩F only — state tax + federal,203.4,1.54,"Manufacturing (taxable fuels, below ETS threshold); commercial/residential taxable",Tier 3
2022,central,S only — state tax unique,324.8,2.46,NG emissions at small facilities; HFCs [2F]; fugitives [1B2] non-ETS; metal processes non-ETS,Tier 3
2022,central,F only — federal tax unique,2893.7,21.92,"Transport (road, rail, aviation) — 1A3; agricultural combustion",Tier 3
2022,central,Uncovered,5687.2,43.08,"ASOUT (livestock, land non-CO2); Waste sector; NG commercial/residential",Tier 3
2022,central,S gross (state tax),4572.0,34.63,,Tier 3
2022,central,F gross (federal tax),3292.9,24.94,,Tier 3
2022,central,E gross (pilot ETS),4043.8,30.63,,Tier 3
2022,central,S∪F∪E deduplicated union,7465.7,56.55,,Tier 3
2022,low,S∩F∩E — all three instruments,111.4,0.84,Elec (diesel/FO fraction) + manuf (taxable fuels at large plants),Tier 3
2022,low,S∩E only — state tax + ETS,3740.2,28.33,"Electricity (NG fraction, 99.6%) + manufacturing NG at large plants",Tier 3
2022,low,S∩F only — state tax + federal,210.1,1.59,"Manufacturing (taxable fuels, below ETS threshold); commercial/residential taxable",Tier 3
2022,low,S only — state tax unique,510.3,3.87,NG emissions at small facilities; HFCs [2F]; fugitives [1B2] non-ETS; metal processes non-ETS,Tier 3
2022,low,F only — federal tax unique,2893.6,21.92,"Transport (road, rail, aviation) — 1A3; agricultural combustion",Tier 3
2022,low,Uncovered,5687.3,43.08,"ASOUT (livestock, land non-CO2); Waste sector; NG commercial/residential",Tier 3
2022,low,S gross (state tax),4572.0,34.63,,Tier 3
2022,low,F gross (federal tax),3215.1,24.35,,Tier 3
2022,low,E gross (pilot ETS),3851.6,29.18,,Tier 3
2022,low,S∪F∪E deduplicated union,7465.6,56.55,,Tier 3
2022,high,S∩F∩E — all three instruments,289.8,2.2,Elec (diesel/FO fraction) + manuf (taxable fuels at large plants),Tier 3
2022,high,S∩E only — state tax + ETS,3900.0,29.54,"Electricity (NG fraction, 99.6%) + manufacturing NG at large plants",Tier 3
2022,high,S∩F only — state tax + federal,184.0,1.39,"Manufacturing (taxable fuels, below ETS threshold); commercial/residential taxable",Tier 3
