source_type,category,subcategory,CO2_Mg,CH4_Mg,N2O_Mg,CN_Mg,notes,CO2_GgCO2e,CH4_GgCO2e,N2O_GgCO2e,total_GgCO2e,HFC_PFC_SF6_GgCO2e,hfc_data_gap,biogenic_co2,ipcc_sector,in_S,f_frac_central,f_frac_low,f_frac_high,e_frac_central,e_frac_low,e_frac_high,scope_note,S_F_E_central,S_E_only_central,S_F_only_central,S_only_central,F_only_central,F_E_only_central,E_only_central,uncovered_central,S_F_E_low,S_E_only_low,S_F_only_low,S_only_low,F_only_low,F_E_only_low,E_only_low,uncovered_low,S_F_E_high,S_E_only_high,S_F_only_high,S_only_high,F_only_high,F_E_only_high,E_only_high,uncovered_high,year,scenario,S_F_E_computed,S_E_only_computed,S_F_only_computed,S_only_computed,F_only_computed,F_E_only_computed,E_only_computed,uncovered_computed
FIXED,Automotriz,,0.0,0.0,0.0,0.0,Annex IV; CO2 negligible (BTEX dominant); GEI values round to 0.0,0.0,0.0,0.0,0.0,0.0,True,False,manufacturing_automotive,True,0.9,0.8,0.97,0.25,0.1,0.45,Fixed other manufacturing: F=0.90; E=0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,central,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIXED,Automotriz,,0.0,0.0,0.0,0.0,Annex IV; CO2 negligible (BTEX dominant); GEI values round to 0.0,0.0,0.0,0.0,0.0,0.0,True,False,manufacturing_automotive,True,0.9,0.8,0.97,0.25,0.1,0.45,Fixed other manufacturing: F=0.90; E=0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIXED,Automotriz,,0.0,0.0,0.0,0.0,Annex IV; CO2 negligible (BTEX dominant); GEI values round to 0.0,0.0,0.0,0.0,0.0,0.0,True,False,manufacturing_automotive,True,0.9,0.8,0.97,0.25,0.1,0.45,Fixed other manufacturing: F=0.90; E=0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025,high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIXED,Automotriz,,0.0,0.0,0.0,0.0,Annex IV; CO2 negligible (BTEX dominant); GEI values round to 0.0,0.0,0.0,0.0,0.0,0.0,True,False,manufacturing_automotive,True,0.9,0.8,0.97,0.25,0.1,0.45,Fixed other manufacturing: F=0.90; E=0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026,central,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIXED,Automotriz,,0.0,0.0,0.0,0.0,Annex IV; CO2 negligible (BTEX dominant); GEI values round to 0.0,0.0,0.0,0.0,0.0,0.0,True,False,manufacturing_automotive,True,0.9,0.8,0.97,0.25,0.1,0.45,Fixed other manufacturing: F=0.90; E=0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIXED,Automotriz,,0.0,0.0,0.0,0.0,Annex IV; CO2 negligible (BTEX dominant); GEI values round to 0.0,0.0,0.0,0.0,0.0,0.0,True,False,manufacturing_automotive,True,0.9,0.8,0.97,0.25,0.1,0.45,Fixed other manufacturing: F=0.90; E=0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026,high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIXED,Alimentos_y_bebidas,,292319.1,0.2,0.3,0.2,Annex IV; sugar mills dominant; bagasse combustion biogenic excluded,292.3191,0.0056,0.0794999999999999,326.22611037199454,0.0,True,False,manufacturing_food_bev,True,0.9,0.8,0.98,0.7,0.5,0.9,Fixed Alimentos_y_bebidas: F=0.90; E=0.7,184.21464600000002,20.468293999999993,78.94913400000002,8.772126,0.0,0.0,0.0,0.0,116.96168,29.240419999999993,116.96168,29.240419999999993,0.0,0.0,0.0,0.0,257.9005044,5.263275600000005,28.65561159999999,0.5848084000000005,0.0,0.0,0.0,0.0,2025,central,205.52244953435658,22.83582772603961,88.08104980043855,9.786783311159835,0.0,0.0,0.0,0.0
FIXED,Alimentos_y_bebidas,,292319.1,0.2,0.3,0.2,Annex IV; sugar mills dominant; bagasse combustion biogenic excluded,292.3191,0.0056,0.0794999999999999,247.61796030166443,0.0,True,False,manufacturing_food_bev,True,0.9,0.8,0.98,0.7,0.5,0.9,Fixed Alimentos_y_bebidas: F=0.90; E=0.7,184.21464600000002,20.468293999999993,78.94913400000002,8.772126,0.0,0.0,0.0,0.0,116.96168,29.240419999999993,116.96168,29.240419999999993,0.0,0.0,0.0,0.0,257.9005044,5.263275600000005,28.65561159999999,0.5848084000000005,0.0,0.0,0.0,0.0,2025,low,99.04718412066578,24.761796030166437,99.04718412066578,24.761796030166437,0.0,0.0,0.0,0.0
FIXED,Alimentos_y_bebidas,,292319.1,0.2,0.3,0.2,Annex IV; sugar mills dominant; bagasse combustion biogenic excluded,292.3191,0.0056,0.0794999999999999,426.90127719462475,0.0,True,False,manufacturing_food_bev,True,0.9,0.8,0.98,0.7,0.5,0.9,Fixed Alimentos_y_bebidas: F=0.90; E=0.7,184.21464600000002,20.468293999999993,78.94913400000002,8.772126,0.0,0.0,0.0,0.0,116.96168,29.240419999999993,116.96168,29.240419999999993,0.0,0.0,0.0,0.0,257.9005044,5.263275600000005,28.65561159999999,0.5848084000000005,0.0,0.0,0.0,0.0,2025,high,376.52692648565903,7.684222989503252,41.83632516507321,0.85380255438925,0.0,0.0,0.0,0.0
FIXED,Alimentos_y_bebidas,,292319.1,0.2,0.3,0.2,Annex IV; sugar mills dominant; bagasse combustion biogenic excluded,292.3191,0.0056,0.0794999999999999,329.48837147571453,0.0,True,False,manufacturing_food_bev,True,0.9,0.8,0.98,0.7,0.5,0.9,Fixed Alimentos_y_bebidas: F=0.90; E=0.7,184.21464600000002,20.468293999999993,78.94913400000002,8.772126,0.0,0.0,0.0,0.0,116.96168,29.240419999999993,116.96168,29.240419999999993,0.0,0.0,0.0,0.0,257.9005044,5.263275600000005,28.65561159999999,0.5848084000000005,0.0,0.0,0.0,0.0,2026,central,207.57767402970015,23.064186003300012,88.96186029844294,9.884651144271436,0.0,0.0,0.0,0.0
