source_type,category,subcategory,CO2_Mg,CH4_Mg,N2O_Mg,CN_Mg,notes,CO2_GgCO2e,CH4_GgCO2e,N2O_GgCO2e,total_GgCO2e,HFC_PFC_SF6_GgCO2e,hfc_data_gap,biogenic_co2,ipcc_sector,in_S,f_frac_central,f_frac_low,f_frac_high,e_frac_central,e_frac_low,e_frac_high,scope_note,S_F_E_central,S_E_only_central,S_F_only_central,S_only_central,F_only_central,F_E_only_central,E_only_central,uncovered_central,S_F_E_low,S_E_only_low,S_F_only_low,S_only_low,F_only_low,F_E_only_low,E_only_low,uncovered_low,S_F_E_high,S_E_only_high,S_F_only_high,S_only_high,F_only_high,F_E_only_high,E_only_high,uncovered_high
FIXED,Automotriz,,0.0,0.0,0.0,0.0,Annex IV; CO2 negligible (BTEX dominant); GEI values round to 0.0,0.0,0.0,0.0,0.0,0.0,True,False,manufacturing_automotive,True,0.9,0.8,0.97,0.25,0.1,0.45,Fixed other manufacturing: F=0.90; E=0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIXED,Alimentos_y_bebidas,,292319.1,0.2,0.3,0.2,Annex IV; sugar mills dominant; bagasse combustion biogenic excluded,292.3191,0.0056,0.0794999999999999,292.4042,0.0,True,False,manufacturing_food_bev,True,0.9,0.8,0.98,0.7,0.5,0.9,Fixed Alimentos_y_bebidas: F=0.90; E=0.7,184.21464600000002,20.468293999999993,78.94913400000002,8.772126,0.0,0.0,0.0,0.0,116.96168,29.240419999999993,116.96168,29.240419999999993,0.0,0.0,0.0,0.0,257.9005044,5.263275600000005,28.65561159999999,0.5848084000000005,0.0,0.0,0.0,0.0
FIXED,Accesorios_electricos,,0.0,0.0,0.0,0.0,Annex IV; negligible GHG,0.0,0.0,0.0,0.0,0.0,True,False,manufacturing_electrical,True,0.9,0.8,0.97,0.25,0.1,0.45,Fixed other manufacturing: F=0.90; E=0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIXED,Celulosa_y_papel,,47957.1,1.6,1.6,2.3,Annex IV; combustion-only category (no calcination process),47.9571,0.0448,0.424,48.4259,0.0,True,False,manufacturing_pulp_paper,True,0.82,0.7,0.92,0.8,0.6,0.95,Fixed Celulosa_y_papel: F=0.82; E=0.8,31.7673904,6.973329600000001,7.941847599999998,1.7433324,0.0,0.0,0.0,0.0,20.338877999999998,8.716662000000001,13.559251999999999,5.811108000000001,0.0,0.0,0.0,0.0,42.3242366,3.6803683999999977,2.227591400000002,0.19370360000000006,0.0,0.0,0.0,0.0
FIXED,Cemento_y_cal,,901618.0,0.1,0.1,0.0,Annex IV; dominant sector; ~60% from CaCO3 calcination process; ~40% from fuel combustion (mainly petcoke),901.618,0.0028,0.0265,901.6473,0.0,True,False,industrial_process_cement,True,0.16000000000000003,0.12127499999999998,0.20047499999999993,0.97,0.9,1.0,Cement: F=0.16(central)=combustion frac × non-NG frac; E=0.97,139.93566096,734.6622200399999,4.327907040000005,22.72151196000002,0.0,0.0,0.0,0.0,98.41254867674999,713.07002132325,10.934727630749995,79.23000236924997,0.0,0.0,0.0,0.0,180.75774246749992,720.8895575325,0.0,0.0,0.0,0.0,0.0,0.0
FIXED,Derivados_petroleo_carbon,,27030.7,0.7,0.5,0.4,Annex IV; fuel combustion,27.0307,0.0196,0.1325,27.1828,0.0,True,False,manufacturing_petro_products,True,0.92,0.82,0.98,0.6,0.4,0.8,Fixed Derivados_petroleo_carbon: F=0.92; E=0.6,15.0049056,1.3047743999999992,10.003270400000002,0.8698495999999996,0.0,0.0,0.0,0.0,8.9159584,1.9571616000000007,13.3739376,2.935742400000001,0.0,0.0,0.0,0.0,21.3113152,0.4349248000000004,5.327828799999998,0.10873120000000007,0.0,0.0,0.0,0.0
FIXED,Industria_textil,,68.7,0.0,0.0,0.0,Annex IV; very small,0.0687,0.0,0.0,0.0687,0.0,True,False,manufacturing_textiles,True,0.9,0.8,0.97,0.25,0.1,0.45,Fixed other manufacturing: F=0.90; E=0.25,0.015457499999999999,0.0017174999999999996,0.0463725,0.005152499999999999,0.0,0.0,0.0,0.0,0.005496000000000001,0.0013739999999999998,0.049464,0.012365999999999997,0.0,0.0,0.0,0.0,0.029987549999999995,0.0009274500000000008,0.036651449999999995,0.001133550000000001,0.0,0.0,0.0,0.0
FIXED,Metalurgica,,18.9,0.0,0.0,0.0,Annex IV; metal processes; very small in Morelos,0.0189,0.0,0.0,0.0189,0.0,True,False,manufacturing_metals,True,0.9,0.8,0.97,0.25,0.1,0.45,Fixed other manufacturing: F=0.90; E=0.25,0.0042525,0.0004724999999999999,0.012757500000000001,0.0014174999999999997,0.0,0.0,0.0,0.0,0.0015120000000000003,0.0003779999999999999,0.013608000000000002,0.003401999999999999,0.0,0.0,0.0,0.0,0.00824985,0.00025515000000000027,0.01008315,0.00031185000000000034,0.0,0.0,0.0,0.0
FIXED,Minerales_no_metalicos,,5397.3,0.1,0.4,0.0,Annex IV; non-cement non-metallic minerals,5.3973,0.0028,0.106,5.5061,0.0,True,False,manufacturing_nonmet_minerals,True,0.9,0.8,0.97,0.25,0.1,0.45,Fixed other manufacturing: F=0.90; E=0.25,1.2388725,0.13765249999999996,3.7166175,0.41295749999999987,0.0,0.0,0.0,0.0,0.44048800000000005,0.11012199999999997,3.9643920000000006,0.9910979999999997,0.0,0.0,0.0,0.0,2.40341265,0.07433235000000006,2.93750435,0.09085065000000009,0.0,0.0,0.0,0.0
FIXED,Metálico,,290.8,0.0,0.0,0.0,Annex IV; metallic minerals processing,0.2908,0.0,0.0,0.2908,0.0,True,False,manufacturing_metals,True,0.9,0.8,0.97,0.25,0.1,0.45,Fixed other manufacturing: F=0.90; E=0.25,0.06543,0.007269999999999999,0.19629000000000002,0.021809999999999996,0.0,0.0,0.0,0.0,0.023264000000000003,0.005815999999999999,0.209376,0.052343999999999995,0.0,0.0,0.0,0.0,0.1269342,0.003925800000000004,0.1551418,0.004798200000000005,0.0,0.0,0.0,0.0
