Year,National GHG (MtCO₂e),Carbon tax coverage (MtCO₂),Low (MtCO₂),High (MtCO₂),Share of national GHG (%),Share low (%),Share high (%)
2014,699.3,225.7,207.4,240.5,32.3,29.7,34.4
2015,741.6,265.1,244.8,281.2,35.7,33.0,37.9
2016,769.0,268.6,247.6,285.2,34.9,32.2,37.1
2017,751.0,268.0,247.5,284.2,35.7,33.0,37.8
2018,764.3,274.3,254.0,290.2,35.9,33.2,38.0
2019,760.4,264.4,244.5,280.1,34.8,32.1,36.8
2020,692.8,212.0,195.9,225.2,30.6,28.3,32.5
2021,743.0,251.2,233.0,265.6,33.8,31.4,35.7
2022,745.9,254.5,236.0,269.0,34.1,31.6,36.1
2023,735.1,246.7,228.6,260.8,33.6,31.1,35.5
2024,756.7,250.0,231.5,264.5,33.0,30.6,35.0
