segment,label,central_tco2eq,low_tco2eq,high_tco2eq,central_pct,low_pct,high_pct
S_F_E,S ∩ F ∩ E (all three),4547.5758042,1089.842541,11640.199625,0.022865428497662082,0.005479780385833433,0.05852748006490295
S_F,S ∩ F only (not E),23946.217235800003,12063.508939000001,42184.915475,0.12040272478558288,0.060655899528020425,0.21210777126192787
S_E,S ∩ E only (not F),349955.8035958,227216.181459,470559.08287499996,1.7595945068296264,1.1424538203110923,2.3659935593523445
S_only,S only,3146283.953364201,3284364.0170610007,3000349.3520250004,15.819666096065541,16.513939255953463,15.085899945499234
F_E,F ∩ E only (not S),0.0,0.0,0.0,0.0,0.0,0.0
F_only,F only,13595443.57006,13592098.09002,13598789.050099999,68.35854007273518,68.34171883919483,68.37536130627555
E_only,E only,0.0,0.0,0.0,0.0,0.0,0.0
uncovered,Uncovered,2768215.57994,2771561.05998,2764870.0999000003,13.918720244481383,13.93554147802175,13.901899010941015
gross_S,Gross S (CDMX tax),3524733.5500000007,3524733.5500000007,3524733.5500000003,17.72252875617841,17.72252875617841,17.722528756178406
gross_F,Gross F (IEPS),13623937.3631,13605251.441499999,13652614.165199999,68.50180822601844,68.40785451910867,68.64599655760239
gross_E,Gross E (Pilot ETS),354503.37940000003,228306.024,482199.2825,1.7824599353272887,1.1479336006969258,2.4245210394172476
union,Deduplicated union (S ∪ F ∪ E),17120177.12006,17116831.640019998,17123522.6001,86.0810688289136,86.06424759537322,86.09789006245396
