state,gadm_name,edgar_sector,ipcc_2006,year,KtCO2e
Querétaro,Querétaro,AGS,3.C,2021,284.0394
Querétaro,Querétaro,AWB,3.C.1b,2021,11.8861
Querétaro,Querétaro,CHE,2.B,2021,104.2982
Querétaro,Querétaro,ENE,1.A.1.a,2021,1086.5014
Querétaro,Querétaro,ENF,3.A.1,2021,2917.3837
Querétaro,Querétaro,IDE,5.A,2021,14.6914
Querétaro,Querétaro,IND,1.A.2,2021,463.8553
Querétaro,Querétaro,IRO,2.C,2021,0.0
Querétaro,Querétaro,MNM,3.A.2,2021,497.0524
Querétaro,Querétaro,N2O,3.C.5-6,2021,36.9116
Querétaro,Querétaro,NEU,2.D,2021,4.565
Querétaro,Querétaro,NFE,2.C,2021,4.2877
Querétaro,Querétaro,NMM,2.A,2021,0.2857
Querétaro,Querétaro,PRO_FFF,1.B,2021,13.8053
Querétaro,Querétaro,PRU_SOL,2.D-2G,2021,672.9191
Querétaro,Querétaro,RCO,1.A.4,2021,609.5269
Querétaro,Querétaro,REF_TRF,1.A.1.bc,2021,697.6864
Querétaro,Querétaro,SWD_INC,4.C,2021,17.848
Querétaro,Querétaro,SWD_LDF,4.A,2021,218.4676
Querétaro,Querétaro,TNR_Aviation_CDS,1.A.3.a,2021,5.3894
Querétaro,Querétaro,TNR_Aviation_CRS,1.A.3.a,2021,8.5057
Querétaro,Querétaro,TNR_Aviation_LTO,1.A.3.a,2021,3.0295
Querétaro,Querétaro,TNR_Other,1.A.3.ce,2021,15.4309
Querétaro,Querétaro,TNR_Ship,1.A.3.d,2021,0.0
Querétaro,Querétaro,TRO,1.A.3.b,2021,1445.986
Querétaro,Querétaro,WWT,4.D,2021,257.2979
CDMX,Distrito Federal,AGS,3.C,2020,44.3792
CDMX,Distrito Federal,AWB,3.C.1b,2020,0.2137
CDMX,Distrito Federal,CHE,2.B,2020,143.9976
CDMX,Distrito Federal,ENE,1.A.1.a,2020,1635.9
CDMX,Distrito Federal,ENF,3.A.1,2020,18.5378
CDMX,Distrito Federal,IDE,5.A,2020,1.8615
CDMX,Distrito Federal,IND,1.A.2,2020,1209.2725
CDMX,Distrito Federal,IRO,2.C,2020,0.0
CDMX,Distrito Federal,MNM,3.A.2,2020,2.8057
CDMX,Distrito Federal,N2O,3.C.5-6,2020,3.5377
CDMX,Distrito Federal,NEU,2.D,2020,6.16
CDMX,Distrito Federal,NFE,2.C,2020,7.1518
CDMX,Distrito Federal,NMM,2.A,2020,1498.6382
CDMX,Distrito Federal,PRO_FFF,1.B,2020,17.1079
CDMX,Distrito Federal,PRU_SOL,2.D-2G,2020,924.5042
CDMX,Distrito Federal,RCO,1.A.4,2020,1667.9724
CDMX,Distrito Federal,REF_TRF,1.A.1.bc,2020,1181.1486
CDMX,Distrito Federal,SWD_INC,4.C,2020,25.1739
CDMX,Distrito Federal,SWD_LDF,4.A,2020,75.9915
