state,gadm_name,edgar_sector,ipcc_2006,year,KtCO2e
Baja California,Baja California,AGS,3.C,2020,170.9875
Baja California,Baja California,AWB,3.C.1b,2020,3.3565
Baja California,Baja California,CHE,2.B,2020,91.9802
Baja California,Baja California,ENE,1.A.1.a,2020,4848.234
Baja California,Baja California,ENF,3.A.1,2020,5458.2655
Baja California,Baja California,IDE,5.A,2020,34.5209
Baja California,Baja California,IND,1.A.2,2020,832.5946
Baja California,Baja California,IRO,2.C,2020,0.0
Baja California,Baja California,MNM,3.A.2,2020,731.0506
Baja California,Baja California,N2O,3.C.5-6,2020,62.9287
Baja California,Baja California,NEU,2.D,2020,4.0227
Baja California,Baja California,NFE,2.C,2020,4.4671
Baja California,Baja California,NMM,2.A,2020,1228.6572
Baja California,Baja California,PRO_FFF,1.B,2020,40.3338
Baja California,Baja California,PRU_SOL,2.D-2G,2020,579.398
Baja California,Baja California,RCO,1.A.4,2020,833.3217
Baja California,Baja California,REF_TRF,1.A.1.bc,2020,735.9366
Baja California,Baja California,SWD_INC,4.C,2020,15.5261
Baja California,Baja California,SWD_LDF,4.A,2020,15.3689
Baja California,Baja California,TNR_Aviation_CDS,1.A.3.a,2020,6.7517
Baja California,Baja California,TNR_Aviation_CRS,1.A.3.a,2020,62.308
Baja California,Baja California,TNR_Aviation_LTO,1.A.3.a,2020,0.0402
Baja California,Baja California,TNR_Other,1.A.3.ce,2020,9.7805
Baja California,Baja California,TNR_Ship,1.A.3.d,2020,155.4995
Baja California,Baja California,TRO,1.A.3.b,2020,3889.3877
Baja California,Baja California,WWT,4.D,2020,225.5202
Baja California,Baja California,AGS,3.C,2021,172.0058
Baja California,Baja California,AWB,3.C.1b,2021,3.6268
Baja California,Baja California,CHE,2.B,2021,95.2801
Baja California,Baja California,ENE,1.A.1.a,2021,6299.94
Baja California,Baja California,ENF,3.A.1,2021,4124.322
Baja California,Baja California,IDE,5.A,2021,32.3653
Baja California,Baja California,IND,1.A.2,2021,733.1541
Baja California,Baja California,IRO,2.C,2021,0.0
Baja California,Baja California,MNM,3.A.2,2021,552.2452
Baja California,Baja California,N2O,3.C.5-6,2021,62.1973
Baja California,Baja California,NEU,2.D,2021,4.2616
Baja California,Baja California,NFE,2.C,2021,3.8202
Baja California,Baja California,NMM,2.A,2021,1332.0557
Baja California,Baja California,PRO_FFF,1.B,2021,40.026
Baja California,Baja California,PRU_SOL,2.D-2G,2021,610.105
Baja California,Baja California,RCO,1.A.4,2021,843.3771
Baja California,Baja California,REF_TRF,1.A.1.bc,2021,623.8655
Baja California,Baja California,SWD_INC,4.C,2021,15.7572
Baja California,Baja California,SWD_LDF,4.A,2021,15.3766
Baja California,Baja California,TNR_Aviation_CDS,1.A.3.a,2021,7.4345
Baja California,Baja California,TNR_Aviation_CRS,1.A.3.a,2021,70.8879
Baja California,Baja California,TNR_Aviation_LTO,1.A.3.a,2021,0.0436
Baja California,Baja California,TNR_Other,1.A.3.ce,2021,9.5858
Baja California,Baja California,TNR_Ship,1.A.3.d,2021,137.6623
Baja California,Baja California,TRO,1.A.3.b,2021,3847.6098
Baja California,Baja California,WWT,4.D,2021,229.2315
CDMX,Distrito Federal,AGS,3.C,2024,43.0673
CDMX,Distrito Federal,AWB,3.C.1b,2024,0.1986
CDMX,Distrito Federal,CHE,2.B,2024,137.0573
CDMX,Distrito Federal,ENE,1.A.1.a,2024,964.713
CDMX,Distrito Federal,ENF,3.A.1,2024,18.7539
CDMX,Distrito Federal,IDE,5.A,2024,2.0745
CDMX,Distrito Federal,IND,1.A.2,2024,1038.7089
CDMX,Distrito Federal,IRO,2.C,2024,0.0
CDMX,Distrito Federal,MNM,3.A.2,2024,2.8971
CDMX,Distrito Federal,N2O,3.C.5-6,2024,3.4168
CDMX,Distrito Federal,NEU,2.D,2024,5.5356
CDMX,Distrito Federal,NFE,2.C,2024,6.4339
CDMX,Distrito Federal,NMM,2.A,2024,1543.9017
CDMX,Distrito Federal,PRO_FFF,1.B,2024,18.8702
CDMX,Distrito Federal,PRU_SOL,2.D-2G,2024,1060.1029
CDMX,Distrito Federal,RCO,1.A.4,2024,1450.2856
CDMX,Distrito Federal,REF_TRF,1.A.1.bc,2024,1029.4006
CDMX,Distrito Federal,SWD_INC,4.C,2024,24.9201
CDMX,Distrito Federal,SWD_LDF,4.A,2024,80.1648
CDMX,Distrito Federal,TNR_Aviation_CDS,1.A.3.a,2024,31.3188
CDMX,Distrito Federal,TNR_Aviation_CRS,1.A.3.a,2024,0.115
CDMX,Distrito Federal,TNR_Aviation_LTO,1.A.3.a,2024,0.0
CDMX,Distrito Federal,TNR_Other,1.A.3.ce,2024,8.1119
CDMX,Distrito Federal,TNR_Ship,1.A.3.d,2024,0.0
CDMX,Distrito Federal,TRO,1.A.3.b,2024,2620.9778
CDMX,Distrito Federal,WWT,4.D,2024,355.317
Colima,Colima,AGS,3.C,2024,115.7666
Colima,Colima,AWB,3.C.1b,2024,7.9622
Colima,Colima,CHE,2.B,2024,57.8667
Colima,Colima,ENE,1.A.1.a,2024,5.0198
Colima,Colima,ENF,3.A.1,2024,159.0343
Colima,Colima,IDE,5.A,2024,5.6918
Colima,Colima,IND,1.A.2,2024,757.3598
Colima,Colima,IRO,2.C,2024,0.0
Colima,Colima,MNM,3.A.2,2024,14.337
Colima,Colima,N2O,3.C.5-6,2024,10.629
Colima,Colima,NEU,2.D,2024,1.0326
Colima,Colima,NFE,2.C,2024,1.2001
Colima,Colima,NMM,2.A,2024,2340.2382
Colima,Colima,PRO_FFF,1.B,2024,3.5412
Colima,Colima,PRU_SOL,2.D-2G,2024,197.0108
Colima,Colima,RCO,1.A.4,2024,199.1287
