state,inventory_year,comparison_category,ipcc_code,inventory_KtCO2e,edgar_KtCO2e,ratio_edgar_over_inv,difference_KtCO2e,flag
CDMX,2020,Electricity,1.A.1.a,356.48,1635.9,4.589,1279.42,edgar_high
CDMX,2020,Refining/transformation,1.A.1.bc,0.0,1181.15,inf,1181.15,edgar_only
CDMX,2020,Manufacturing,1.A.2,2745.55,1209.27,0.4404,-1536.28,edgar_low
CDMX,2020,Transport,1.A.3,13793.57,2203.39,0.1597,-11590.19,edgar_low
CDMX,2020,Buildings/other,1.A.4,2399.45,1667.97,0.6951,-731.48,aligned
CDMX,2020,Fugitive,1.B,0.06,17.11,269.8407,17.04,edgar_high
CDMX,2020,IPPU minerals,2.A,0.0,1498.64,inf,1498.64,edgar_only
CDMX,2020,IPPU chemicals,2.B,0.0,144.0,inf,144.0,edgar_only
CDMX,2020,IPPU metals,2.C,0.0,7.15,inf,7.15,edgar_only
CDMX,2020,IPPU products,2.D-2.G,0.75,930.66,1245.0524,929.92,edgar_high
CDMX,2020,Livestock,3.A,23.48,21.34,0.9089,-2.14,aligned
CDMX,2020,Cropland/soils,3.C,6.43,48.13,7.49,41.7,edgar_high
CDMX,2020,Waste,4,529.01,463.47,0.8761,-65.54,aligned
Colima,2015,Electricity,1.A.1.a,7137.0,5.02,0.0007,-7131.98,edgar_low
Colima,2015,Refining/transformation,1.A.1.bc,0.0,192.02,inf,192.02,edgar_only
Colima,2015,Manufacturing,1.A.2,1949.5,757.36,0.3885,-1192.14,edgar_low
Colima,2015,Transport,1.A.3,5731.5,740.46,0.1292,-4991.04,edgar_low
Colima,2015,Buildings/other,1.A.4,252.8,199.13,0.7877,-53.67,aligned
Colima,2015,Fugitive,1.B,0.0,3.54,inf,3.54,edgar_only
Colima,2015,IPPU minerals,2.A,429.9,2340.24,5.4437,1910.34,edgar_high
Colima,2015,IPPU chemicals,2.B,0.0,57.87,inf,57.87,edgar_only
Colima,2015,IPPU metals,2.C,136.6,1.2,0.0088,-135.4,edgar_low
Colima,2015,IPPU products,2.D-2.G,157.2,198.04,1.2598,40.84,aligned
Colima,2015,Livestock,3.A,272.47,173.37,0.6363,-99.1,aligned
Colima,2015,Cropland/soils,3.C,283.67,134.36,0.4736,-149.31,edgar_low
Colima,2015,Waste,4,464.1,75.13,0.1619,-388.97,edgar_low
Durango,2022,Electricity,1.A.1.a,3316.22,2352.69,0.7094,-963.53,aligned
Durango,2022,Refining/transformation,1.A.1.bc,0.0,291.37,inf,291.37,edgar_only
Durango,2022,Manufacturing,1.A.2,882.73,188.44,0.2135,-694.29,edgar_low
Durango,2022,Transport,1.A.3,2893.0,4904.95,1.6955,2011.95,aligned
Durango,2022,Buildings/other,1.A.4,154.25,614.31,3.9826,460.06,edgar_high
Durango,2022,Fugitive,1.B,102.77,40.8,0.397,-61.97,edgar_low
Durango,2022,IPPU minerals,2.A,0.0,0.11,inf,0.11,edgar_only
Durango,2022,IPPU chemicals,2.B,0.0,46.47,inf,46.47,edgar_only
Durango,2022,IPPU metals,2.C,49.49,2.08,0.042,-47.41,edgar_low
Durango,2022,IPPU products,2.D-2.G,67.35,282.8,4.199,215.45,edgar_high
Durango,2022,Livestock,3.A,3542.84,20490.06,5.7835,16947.22,edgar_high
Durango,2022,Cropland/soils,3.C,1335.98,1435.53,1.0745,99.55,aligned
Durango,2022,Waste,4,808.34,21707.26,26.8541,20898.92,edgar_high
Estado de México,2019,Electricity,1.A.1.a,5606.9,5585.18,0.9961,-21.72,aligned
Estado de México,2019,Refining/transformation,1.A.1.bc,0.0,2724.21,inf,2724.21,edgar_only
Estado de México,2019,Manufacturing,1.A.2,6111.1,2265.54,0.3707,-3845.56,edgar_low
Estado de México,2019,Transport,1.A.3,7309.8,7195.15,0.9843,-114.65,aligned
Estado de México,2019,Buildings/other,1.A.4,3425.1,4129.37,1.2056,704.27,aligned
Estado de México,2019,Fugitive,1.B,0.0,51.29,inf,51.29,edgar_only
Estado de México,2019,IPPU minerals,2.A,3309.8,1614.31,0.4877,-1695.49,edgar_low
Estado de México,2019,IPPU chemicals,2.B,0.0,387.3,inf,387.3,edgar_only
Estado de México,2019,IPPU metals,2.C,70.7,38.07,0.5385,-32.63,aligned
Estado de México,2019,IPPU products,2.D-2.G,1259.1,2635.43,2.0931,1376.33,edgar_high
Estado de México,2019,Livestock,3.A,1755.85,1045.2,0.5953,-710.65,aligned
Estado de México,2019,Cropland/soils,3.C,1755.85,1033.13,0.5884,-722.72,aligned
Estado de México,2019,Waste,4,5780.8,1388.93,0.2403,-4391.87,edgar_low
Guanajuato,2013,Electricity,1.A.1.a,4431.0,4182.69,0.944,-248.31,aligned
Guanajuato,2013,Refining/transformation,1.A.1.bc,0.0,5104.27,inf,5104.27,edgar_only
Guanajuato,2013,Manufacturing,1.A.2,1977.9,5359.13,2.7095,3381.23,edgar_high
Guanajuato,2013,Transport,1.A.3,7209.8,5489.27,0.7614,-1720.53,aligned
Guanajuato,2013,Buildings/other,1.A.4,1171.2,1805.73,1.5418,634.53,aligned
