state,inventory_year,inventory_total_exLULUCF,edgar_total_exLULUCF,ratio,inventory_total_comparable,edgar_total_comparable,ratio_comparable
CDMX,2020,19854.8,11028.19,0.5554,19854.8,8197.25,0.4129
Colima,2015,16814.74,4877.74,0.2901,16814.74,4624.31,0.275
Durango,2022,13152.97,52356.87,3.9806,13152.97,52018.92,3.9549
Estado de México,2019,36385.0,30093.12,0.8271,36385.0,26930.31,0.7401
Guanajuato,2013,20918.8,27045.76,1.2929,20918.8,21853.47,1.0447
Morelos,2014,5703.34,5375.51,0.9425,5703.34,4994.59,0.8757
Querétaro,2021,10589.7,9376.96,0.8855,10589.7,8561.17,0.8084
San Luis Potosí,2014,23330.72,25867.66,1.1087,23330.72,25063.73,1.0743
Tamaulipas,2013,36692.47,38679.41,1.0542,36692.47,38144.87,1.0396
Yucatán,2023,10425.5,12481.75,1.1972,10425.5,12428.53,1.1921
Zacatecas,2024,7056.7,7056.66,1.0,7056.7,5302.88,0.7515
