ipcc_2006,description,broad_category,central_KtCO2e,low_KtCO2e,high_KtCO2e,s_share,f_share,e_share,S∩F∩E,S∩E_only,S∩F_only,S_only,F∩E_only,F_only,E_only,Uncovered
1.A.1.a,Electricity generation,ELECTRICITY,5606.9,5300.2,5913.6,1.0,0.19999999999999996,0.6,1121.3799999999997,2242.7599999999998,0.0,2242.7599999999998,0.0,0.0,0.0,6.22490947677079e-13
1.A.2,Manufacturing & construction,MANUFACTURING,6111.1,5776.8,6445.4,1.0,0.5,0.5,3055.55,0.0,0.0,3055.55,0.0,0.0,0.0,0.0
1.A.3,Transport,TRANSPORT,7309.8,6910.0,7709.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7309.8,0.0,0.0
1.A.4.a,Commercial/institutional combustion,OTHER_SECTORS,515.5,487.3,543.7,1.0,0.6,0.0,0.0,0.0,309.3,206.20000000000002,0.0,0.0,0.0,0.0
1.A.4.b,Residential combustion,OTHER_SECTORS,2428.6,2295.8,2561.4,0.0,0.85,0.0,0.0,0.0,0.0,0.0,0.0,2064.31,0.0,364.29
1.A.4.c,Agricultural combustion,OTHER_SECTORS,481.0,454.7,507.3,1.0,0.95,0.0,0.0,0.0,456.95,24.050000000000022,0.0,0.0,0.0,0.0
1.B,Fugitive emissions,FUGITIVE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.A.1,Cement production,IPPU,582.5,550.6,614.4,1.0,0.0,0.65,0.0,378.625,0.0,203.875,0.0,0.0,0.0,6.467049118441537e-14
2.A.2,Lime production,IPPU,186.7,176.5,196.9,1.0,0.0,0.65,0.0,121.35499999999999,0.0,65.345,0.0,0.0,0.0,2.072786386975167e-14
2.A.3,Glass production,IPPU,123.5,116.7,130.3,1.0,0.0,0.65,0.0,80.275,0.0,43.224999999999994,0.0,0.0,0.0,1.3711254354120683e-14
2.A.4,Other carbonates (limestone+soda ash),IPPU,2417.1,2284.9,2549.3,1.0,0.0,0.65,0.0,1571.115,0.0,845.9849999999999,0.0,0.0,0.0,2.683520072821466e-13
2.C,Metals (lead + zinc),IPPU,70.7,66.8,74.6,1.0,0.0,0.4,0.0,28.28,0.0,42.42,0.0,0.0,0.0,7.849276784099857e-15
2.D,Non-energy products (lubricants+wax),IPPU,1259.1,1190.2,1328.0,1.0,0.0,0.0,0.0,0.0,0.0,1259.1,0.0,0.0,0.0,0.0
3.x,AFOLU (agriculture/forestry/land use),AFOLU,3511.7,3319.6,3703.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3511.7
4.x,Waste (solid waste + wastewater),WASTE,5780.8,5464.6,6097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5780.8
