ipcc_2006,description,central_KtCO2e
1.A.2.a,Transport equipment manufacturing,1641.6
1.A.2.b,Non-metallic minerals manufacturing,1061.1
1.A.2.c,Chemicals manufacturing,735.8
1.A.2.d,Food & beverages manufacturing,672.7
1.A.2.e,Pulp & paper manufacturing,549.6
1.A.2.f,Unspecified industry,745.8
1.A.2.g,Iron & steel manufacturing,233.4
1.A.2.h,Non-ferrous metals manufacturing,197.7
1.A.2.i,Textiles manufacturing,219.8
1.A.2.j,Machinery manufacturing,38.0
1.A.2.k,Wood manufacturing,15.6
1.A.3.b,Terrestrial transport,6993.1
1.A.3.a,Aviation,249.4
1.A.3.c,Rail transport,67.4
1.A.4.a,Commercial/institutional,515.5
1.A.4.b,Residential,2428.6
1.A.4.c,Agricultural combustion,481.0
