ipcc_code,description,emissions_GgCO2e,CO2_GgCO2e,CH4_GgCO2e,N2O_GgCO2e,HFC_GgCO2e,notes,sector_group,in_S,f_frac_central,f_frac_low,f_frac_high,e_frac_central,e_frac_low,e_frac_high,scope_note,S_F_E_central,S_E_only_central,S_F_only_central,S_only_central,F_only_central,F_E_only_central,E_only_central,uncovered_central,S_F_E_low,S_E_only_low,S_F_only_low,S_only_low,F_only_low,F_E_only_low,E_only_low,uncovered_low,S_F_E_high,S_E_only_high,S_F_only_high,S_only_high,F_only_high,F_E_only_high,E_only_high,uncovered_high
1A1,Industrias de la energia,1895.94,1894.13,0.84,0.8,0.0,Electricity generation only; no refining or solid fuel mfg in state,electricity_generation,True,1.4613527044016195e-06,0.0,0.0010000000000000009,0.989,0.985,0.995,"1A1: S(all); F(diesel ~0%); E(98.9%, 2 of 3 plants >> threshold)",0.0027401600388729914,1875.0819198399613,3.04770075102153e-05,20.85530952299251,0.0,0.0,0.0,0.0,0.0,1867.5009,0.0,28.439100000000025,0.0,0.0,0.0,0.0,1.8864603000000018,1884.5738397,0.009479700000000016,9.470220300000008,0.0,0.0,0.0,0.0
1A2,Industrias manufactureras y de la construccion,2182.47,2180.28,1.12,1.06,0.0,NG=36.11 PJ of 37.46 PJ fossil; strong automotive/aerospace cluster,manufacturing,True,0.04493183121786215,0.030000000000000027,0.06999999999999995,0.75,0.6,0.88,"1A2: S(all); F(non-NG ~4.5%); E(75% central, auto/aero cluster)",73.54678025853569,1563.3057197414641,24.515593419511898,521.101906580488,0.0,0.0,0.0,0.0,39.28446000000003,1270.19754,26.189640000000022,846.79836,0.0,0.0,0.0,0.0,134.4401519999999,1786.1334479999998,18.332747999999985,243.56365199999996,0.0,0.0,0.0,0.0
1A3a,Aviacion civil,179.0,175.0,0.1,3.9,0.0,AIQ airport; turbosina+gas avion 2.22 PJ (estimated split from Table 8),transport,False,0.986,0.98,0.99,0.0,0.0,0.0,1A3: EXEMPT from S; F=~98.6% (all fuels except NG); E=0,0.0,0.0,0.0,0.0,176.494,0.0,0.0,2.506000000000002,0.0,0.0,0.0,0.0,175.42,0.0,0.0,3.580000000000003,0.0,0.0,0.0,0.0,177.21,0.0,0.0,1.7900000000000016
1A3b,Transporte terrestre,2296.33,2249.38,7.08,39.87,0.0,Gasolina 19.45+Diesel 7.03+GLP 1.47+GN 0.60 PJ (Table 12),transport,False,0.986,0.98,0.99,0.0,0.0,0.0,1A3: EXEMPT from S; F=~98.6% (all fuels except NG); E=0,0.0,0.0,0.0,0.0,2264.18138,0.0,0.0,32.14862000000003,0.0,0.0,0.0,0.0,2250.4033999999997,0.0,0.0,45.926600000000036,0.0,0.0,0.0,0.0,2273.3667,0.0,0.0,22.963300000000018
1A3c,Ferrocarriles,28.16,25.5,0.1,1.28,0.0,Diesel 0.35 PJ (Table 8),transport,False,0.986,0.98,0.99,0.0,0.0,0.0,1A3: EXEMPT from S; F=~98.6% (all fuels except NG); E=0,0.0,0.0,0.0,0.0,27.76576,0.0,0.0,0.39424000000000037,0.0,0.0,0.0,0.0,27.596799999999998,0.0,0.0,0.5632000000000005,0.0,0.0,0.0,0.0,27.8784,0.0,0.0,0.28160000000000024
1A4a,Comercial e institucional,84.93,84.69,0.2,0.04,0.0,3.13 PJ; GLP + NG + lena,commercial,True,0.8,0.7,0.9,0.0,0.0,0.0,1A4a: S(all); F(LPG+other ~80%); E=0,0.0,0.0,67.944,16.985999999999997,0.0,0.0,0.0,0.0,0.0,0.0,59.451,25.479000000000006,0.0,0.0,0.0,0.0,0.0,0.0,76.43700000000001,8.492999999999999,0.0,0.0,0.0,0.0
1Ab,Residencial,381.05,354.74,23.24,2.65,0.0,11.62 PJ; GLP dominant; lena CH4/N2O incl but biogenic CO2 excluded,residential,False,0.95,0.9,0.98,0.0,0.0,0.0,1Ab: EXEMPT from S; F=~95% (LPG dominant); E=0,0.0,0.0,0.0,0.0,361.9975,0.0,0.0,19.052500000000016,0.0,0.0,0.0,0.0,342.945,0.0,0.0,38.10499999999999,0.0,0.0,0.0,0.0,373.42900000000003,0.0,0.0,7.621000000000007
1A4c,Agricultura silvicultura,119.08,109.08,0.2,9.54,0.0,2.47 PJ; GLP and diesel for mechanized ag and greenhouses,ag_combustion,True,0.98,0.95,1.0,0.0,0.0,0.0,1A4c: IN S (productive processes); F=~98% (diesel+LPG); E=0,0.0,0.0,116.69839999999999,2.381600000000002,0.0,0.0,0.0,0.0,0.0,0.0,113.12599999999999,5.954000000000005,0.0,0.0,0.0,0.0,0.0,0.0,119.08,0.0,0.0,0.0,0.0,0.0
2A2,Produccion de cal,48.74,48.74,0.0,0.0,0.0,2 establishments: Cadereyta de Montes and Toliman,ippu_minerals,True,0.0,0.0,0.0,0.6,0.4,0.8,"2A2: S(process CO2, all Kyoto gases); F=0; E=subsector-specific",0.0,29.244,0.0,19.496000000000002,0.0,0.0,0.0,0.0,0.0,19.496000000000002,0.0,29.244,0.0,0.0,0.0,0.0,0.0,38.992000000000004,0.0,9.747999999999998,0.0,0.0,0.0,0.0
2A3,Produccion de vidrio,114.99,114.99,0.0,0.0,0.0,2 companies: El Marques and Queretaro municipality,ippu_minerals,True,0.0,0.0,0.0,0.95,0.85,1.0,"2A3: S(process CO2, all Kyoto gases); F=0; E=subsector-specific",0.0,109.24049999999998,0.0,5.749500000000005,0.0,0.0,0.0,0.0,0.0,97.74149999999999,0.0,17.248500000000003,0.0,0.0,0.0,0.0,0.0,114.99,0.0,0.0,0.0,0.0,0.0,0.0
