ipcc_code,subsector,sector,sector_group,CO2_Mt,CH4_Mt,N2O_Mt,CO2eq_SAR_Mt,CO2eq_AR5_Mt,CO2_annual_kt,CH4_annual_kt,N2O_annual_kt,CO2eq_AR5_annual_kt,CO2eq_SAR_annual_kt,emissions_GgCO2e
1A1,Generacion,energy,electricity_generation,56.58,0.00158,7e-05,56.63488,56.64279,7072.5,0.1975,0.008749999999999999,7080.34875,7079.360000000001,7080.34875
1A3_gas,Transporte (gasolina),energy,transport,16.79,0.00799,0.0007,17.174789999999998,17.19922,2098.75,0.99875,0.0875,2149.9025,2146.8487499999997,2149.9025
1A3_die,Transporte (diesel),energy,transport,9.79,0.00051,0.01082,13.15491,12.671579999999999,1223.75,0.06375,1.3525,1583.9474999999998,1644.36375,1583.9474999999998
1A2_gn,Consumo industrial GN,energy,manufacturing,6.53,0.00058,1.1656e-05,6.54579336,6.54932884,816.25,0.0725,0.001457,818.666105,818.2241700000001,818.666105
1A2_glp,Consumo industrial GLP,energy,manufacturing,9.81,0.00015,1.5553e-05,9.81797143,9.818321545000002,1226.25,0.01875,0.001944125,1227.2901931250003,1227.24642875,1227.2901931250003
1A2_die,Consumo industrial diesel,energy,manufacturing,2.18,8.8579e-05,1.7716e-05,2.1873521190000003,2.1871749520000003,272.5,0.011072374999999999,0.0022145000000000003,273.39686900000004,273.419014875,273.39686900000004
1A4,"Residencial, Comercial y Publico",energy,other_energy,21.56,0.001709,3.4195e-05,21.606489449999998,21.616913675,2695.0,0.213625,0.004274375,2702.114209375,2700.8111812499997,2702.114209375
1A_bio_lena,Consumo de lena (biogenico),energy,biogenic,0.87,0.002343,3.12e-05,0.928875,0.943872,108.75,0.292875,0.0039,117.98400000000001,116.109375,117.98400000000001
1A_bio_bag,Consumo de bagazo (biogenico),energy,biogenic,2.013,0.006039,8.052e-05,2.1647802,2.2034298,251.625,0.754875,0.010065,275.428725,270.597525,275.428725
2_metalurgia,Metalurgia,ippu,ippu_metalurgia,1.98,0.0,0.005496,3.68376,3.43644,247.5,0.0,0.687,429.555,460.46999999999997,429.555
2_quimica,Quimica,ippu,ippu_quimica,0.18,0.0,0.0,0.18,0.18,22.5,0.0,0.0,22.5,22.5,22.5
2_cemento_cal,Cemento y cal,ippu,ippu_cemento,20.44,1.44e-06,0.0,20.440030240000002,20.44004032,2555.0,0.00017999999999999998,0.0,2555.00504,2555.0037800000005,2555.00504
2_automotriz,Automotriz,ippu,ippu_automotriz,0.31,0.0,2.43e-06,0.3107533,0.31064395,38.75,0.0,0.00030375,38.83049375,38.8441625,38.83049375
2_celulosa,Celulosa y papel,ippu,ippu_celulosa,1.08,9.4e-06,0.0,1.0801974,1.0802632,135.0,0.001175,0.0,135.0329,135.024675,135.0329
2_vidrio,Vidrio,ippu,ippu_vidrio,1.67,0.0,0.0,1.67,1.67,208.75,0.0,0.0,208.75,208.75,208.75
2_otras,Otras industrias,ippu,ippu_otras,0.91,0.0,0.0,0.91,0.91,113.75,0.0,0.0,113.75,113.75,113.75
3_ferm_ent,Fermentacion enterica,afolu,afolu,0.0,0.212,0.0,4.452,5.936,0.0,26.5,0.0,742.0,556.5,742.0
3_excretas,Manejo de excretas,afolu,afolu,0.0,0.00294,0.007735,2.45959,2.132095,0.0,0.3675,0.9668749999999999,266.51187500000003,307.44875,266.51187500000003
3_quema_ag,Quema agricola,afolu,afolu,6.778,0.202,0.0,11.02,12.434000000000001,847.25,25.25,0.0,1554.2500000000002,1377.5,1554.2500000000002
4_domesticos,Residuos domesticos,waste,waste,0.0,0.368,0.0,7.728,10.304,0.0,46.0,0.0,1288.0,966.0,1288.0
4_industriales,Residuos industriales,waste,waste,0.00695,0.04,0.0,0.84695,1.1269500000000001,0.8687499999999999,5.0,0.0,140.86875,105.86874999999999,140.86875
