ipcc_code,subsector,sector,sector_group,CO2_Mt,CH4_Mt,N2O_Mt,CO2eq_SAR_Mt,CO2eq_AR5_Mt,CO2_annual_kt,CH4_annual_kt,N2O_annual_kt,CO2eq_AR5_annual_kt,CO2eq_SAR_annual_kt,emissions_GgCO2e,in_S,f_frac_central,f_frac_low,f_frac_high,e_frac_central,e_frac_low,e_frac_high,scope_note,S_F_E_central,S_E_only_central,S_F_only_central,S_only_central,F_only_central,F_E_only_central,E_only_central,uncovered_central,S_F_E_low,S_E_only_low,S_F_only_low,S_only_low,F_only_low,F_E_only_low,E_only_low,uncovered_low,S_F_E_high,S_E_only_high,S_F_only_high,S_only_high,F_only_high,F_E_only_high,E_only_high,uncovered_high
1A1,Generacion,energy,electricity_generation,56.58,0.00158,7e-05,56.63488,56.64279,7072.5,0.1975,0.0087499999999999,7080.34875,7079.360000000001,7080.34875,True,0.568623842347119,0.44999999999999996,0.65,1.0,0.95,1.0,1A1: S(all); F(non-NG ~57%); E(100%); Villa de Reyes combustoleo drives high F,4026.0551113826214,3054.2936386173787,0.0,0.0,0.0,0.0,0.0,0.0,3026.849090625,3699.482221875,159.30784687500014,194.70959062500017,0.0,0.0,0.0,0.0,4602.2266875000005,2478.1220625,0.0,0.0,0.0,0.0,0.0,0.0
1A3_gas,Transporte (gasolina),energy,transport,16.79,0.00799,0.0007,17.174789999999998,17.19922,2098.75,0.99875,0.0875,2149.9025,2146.84875,2149.9025,False,1.0,1.0,1.0,0.0,0.0,0.0,1A3: transport EXEMPT from SLP state tax; F=100%; E=0,0.0,0.0,0.0,0.0,2149.9025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2149.9025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2149.9025,0.0,0.0,0.0
1A3_die,Transporte (diesel),energy,transport,9.79,0.00051,0.01082,13.15491,12.67158,1223.75,0.06375,1.3525,1583.9474999999998,1644.36375,1583.9474999999998,False,1.0,1.0,1.0,0.0,0.0,0.0,1A3: transport EXEMPT from SLP state tax; F=100%; E=0,0.0,0.0,0.0,0.0,1583.9474999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1583.9474999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1583.9474999999998,0.0,0.0,0.0
1A2_gn,Consumo industrial GN,energy,manufacturing,6.53,0.00058,1.1656e-05,6.54579336,6.54932884,816.25,0.0725,0.001457,818.666105,818.2241700000001,818.666105,True,0.0,0.0,0.0,0.5,0.35,0.65,1A2 1A2_gn: S(all); F(fuel-specific); E(50%),0.0,409.3330525,0.0,409.3330525,0.0,0.0,0.0,0.0,0.0,286.53313675,0.0,532.13296825,0.0,0.0,0.0,0.0,0.0,532.13296825,0.0,286.53313675,0.0,0.0,0.0,0.0
1A2_glp,Consumo industrial GLP,energy,manufacturing,9.81,0.00015,1.5553e-05,9.81797143,9.818321545000002,1226.25,0.01875,0.001944125,1227.2901931250003,1227.24642875,1227.2901931250003,True,1.0,1.0,1.0,0.5,0.35,0.65,1A2 1A2_glp: S(all); F(fuel-specific); E(50%),613.6450965625002,0.0,613.6450965625002,0.0,0.0,0.0,0.0,0.0,429.55156759375006,0.0,797.7386255312502,0.0,0.0,0.0,0.0,0.0,797.7386255312502,0.0,429.55156759375006,0.0,0.0,0.0,0.0,0.0
1A2_die,Consumo industrial diesel,energy,manufacturing,2.18,8.8579e-05,1.7716e-05,2.1873521190000003,2.1871749520000003,272.5,0.0110723749999999,0.0022145,273.39686900000004,273.419014875,273.39686900000004,True,1.0,1.0,1.0,0.5,0.35,0.65,1A2 1A2_die: S(all); F(fuel-specific); E(50%),136.69843450000002,0.0,136.69843450000002,0.0,0.0,0.0,0.0,0.0,95.68890415000001,0.0,177.70796485000002,0.0,0.0,0.0,0.0,0.0,177.70796485000002,0.0,95.68890415000001,0.0,0.0,0.0,0.0,0.0
1A4,"Residencial, Comercial y Publico",energy,other_energy,21.56,0.001709,3.4195e-05,21.60648945,21.616913675,2695.0,0.213625,0.004274375,2702.114209375,2700.81118125,2702.114209375,True,0.75,0.65,0.85,0.0,0.0,0.0,1A4: mixed; commercial/public IN S (productive); residential NOT in S; F(non-NG),0.0,0.0,810.6342628125001,270.2114209375,1215.95139421875,0.0,0.0,405.31713140625,0.0,0.0,526.912270828125,283.721991984375,1229.461965265625,0.0,0.0,662.017981296875,0.0,0.0,1148.398538984375,202.65856570312502,1148.398538984375,0.0,0.0,202.65856570312502
2_metalurgia,Metalurgia,ippu,ippu_metalurgia,1.98,0.0,0.005496,3.68376,3.43644,247.5,0.0,0.687,429.555,460.47,429.555,True,0.0,0.0,0.0,0.95,0.85,1.0,"2_metalurgia: S=yes; F=0; E=95% (SLP metalurgia 2,071 kt/yr facility)",0.0,408.07725,0.0,21.477750000000018,0.0,0.0,0.0,0.0,0.0,365.12175,0.0,64.43325000000002,0.0,0.0,0.0,0.0,0.0,429.555,0.0,0.0,0.0,0.0,0.0,0.0
2_quimica,Quimica,ippu,ippu_quimica,0.18,0.0,0.0,0.18,0.18,22.5,0.0,0.0,22.5,22.5,22.5,True,0.0,0.0,0.0,0.5,0.3,0.7,2_quimica: S=yes; F=0; E=50% (scattered facilities),0.0,11.25,0.0,11.25,0.0,0.0,0.0,0.0,0.0,6.75,0.0,15.749999999999998,0.0,0.0,0.0,0.0,0.0,15.749999999999998,0.0,6.750000000000001,0.0,0.0,0.0,0.0
2_cemento_cal,Cemento y cal,ippu,ippu_cemento,20.44,1.44e-06,0.0,20.44003024,20.44004032,2555.0,0.0001799999999999,0.0,2555.00504,2555.0037800000005,2555.00504,True,0.0,0.0,0.0,0.95,0.85,1.0,"2_cemento: process CO2; S=yes; F=0 (not combustion); E=95% (Cerritos 1,076 kt/yr)",0.0,2427.2547879999997,0.0,127.75025200000012,0.0,0.0,0.0,0.0,0.0,2171.754284,0.0,383.2507560000001,0.0,0.0,0.0,0.0,0.0,2555.00504,0.0,0.0,0.0,0.0,0.0,0.0
