ipcc_code,description,co2_Gg,ch4_co2eq_sar,n2o_co2eq_sar,total_sar,ch4_co2eq_ar5,n2o_co2eq_ar5,total_ar5,sector_group,growth_2025,total_ar5_2025,in_S,in_E,s_frac,e_frac,f_frac,threshold_frac,S_F_E,S_E_only,S_F_only,S_only,F_only,F_E_only,E_only,uncovered,scenario
1A1a,Generación de electricidad,13894.84,5.2,7.7,13907.74,6.933333333333334,6.58225806451613,13908.355591397847,electricity_generation,1.3193072302020017,18349.39409195162,True,True,1.0,1.0,0.07093483444407445,1.0,1301.611232061666,17047.782859889954,0.0,0.0,0.0,0.0,0.0,0.0,central
1A1b,Refinación del petróleo,2948.8,1.1,1.63,2951.53,1.4666666666666668,1.3933870967741937,2951.6600537634413,petroleum_refining,1.3193072302020017,3894.146450028537,True,True,1.0,1.0,0.15000000000000002,1.0,584.1219675042806,3310.024482524256,0.0,0.0,0.0,0.0,0.0,0.0,central
1A2,Industrias manufactureras,1975.5,0.79,1.29,1977.58,1.0533333333333332,1.102741935483871,1977.6560752688167,manufacturing,1.3301459359419088,2630.5711912096426,True,True,0.65,0.65,0.0791302200432572,0.65,135.30249017991696,1574.568784106351,0.0,0.0,72.85518701995527,0.0,0.0,847.8447299034195,central
1A3a,Aviación,239.96,0.0,0.0,239.96,0.0,0.0,239.96,transport,1.4819023923700982,355.5972980731288,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,355.5972980731288,0.0,0.0,0.0,central
1A3b,Transporte terrestre,6915.71,3.39,49.98,6969.08,4.52,42.72483870967742,6962.9548387096775,transport,1.4819023923700982,10318.419433448822,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10318.419433448822,0.0,0.0,0.0,central
1A3c,Ferrocarriles,48.51,0.05,5.8,54.36,0.0666666666666666,4.958064516129032,53.5347311827957,transport,1.4819023923700982,79.33324621467506,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,79.33324621467506,0.0,0.0,0.0,central
1A3d,Navegación marítima y fluvial,210.27,0.42,1.76,212.45,0.5599999999999999,1.5045161290322582,212.33451612903227,transport,1.4819023923700982,314.6590274343601,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,314.6590274343601,0.0,0.0,0.0,central
1A4a,Combustión comercial/institucional,74.31,0.12,0.04,74.47,0.1599999999999999,0.0341935483870967,74.5041935483871,other_energy,1.2354370225144111,92.04523904225675,False,False,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,80.07935796676337,0.0,0.0,11.965881075493378,central
1A4b_gn,Combustión residencial GN,100.19,0.19,0.06,100.44,0.2533333333333333,0.0512903225806451,100.49462365591395,other_energy,1.2354370225144111,124.15477862816866,False,False,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,108.01465740650673,0.0,0.0,16.140121221661925,central
1A4b_glp,Combustión residencial GLP,748.56,0.25,2.23,751.04,0.3333333333333333,1.906290322580645,750.7996236559139,other_energy,1.2354370225144111,927.5656515544028,False,False,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,806.9821168523305,0.0,0.0,120.58353470207237,central
1A4c,Combustión agrícola,12.53,0.02,0.01,12.56,0.0266666666666666,0.0085483870967741,12.56521505376344,other_energy,1.2354370225144111,15.52353187327476,False,False,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,13.505472729749041,0.0,0.0,2.018059143525719,central
1B2,Industria petróleo y gas natural,678.77,2932.51,0.41,3611.69,3910.013333333333,0.3504838709677419,4589.133817204301,fugitive_oil_gas,1.4400045408105349,6608.373535161376,True,True,0.8,0.8,0.0,0.8,0.0,5286.6988281291015,0.0,0.0,0.0,0.0,0.0,1321.6747070322745,central
2A4,Usos de caliza,50.14,0.0,0.0,50.14,0.0,0.0,50.14,ippu_caliza,0.8825271247739602,44.24991003616637,True,True,0.5,0.5,0.0,0.5,0.0,22.124955018083185,0.0,0.0,0.0,0.0,0.0,22.124955018083185,central
2B8,Negro de humo (carbon black),392.26,0.0,0.0,392.26,0.0,0.0,392.26,ippu_negro_humo,0.8825271247739602,346.1800899638336,True,True,0.9,0.9,0.0,0.9,0.0,311.56208096745024,0.0,0.0,0.0,0.0,0.0,34.61800899638337,central
2F1,Refrigeración y AC (HFC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,ippu_hfc,0.8825271247739602,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,central
3A1,Fermentación entérica,0.0,1733.39,0.0,1733.39,2311.1866666666665,0.0,2311.1866666666665,afolu_livestock,1.2318683050814063,2847.077601793412,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2847.077601793412,central
3A2,Manejo de estiércol,0.0,45.18,20.19,65.37,60.24,17.2591935483871,77.4991935483871,afolu_livestock,1.2318683050814063,95.46880020162747,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.46880020162747,central
3B,Cambios de uso de suelo,3669.07,0.0,0.0,3669.07,0.0,0.0,3669.07,afolu_land_use,0.9716249621838776,3564.96,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3564.96,central
3C1f,Quema biomasa tierras forestales,0.0,1.47,0.8,2.27,1.96,0.6838709677419356,2.643870967741936,afolu_agriculture,1.2318683050814063,3.256900847886196,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.256900847886196,central
3C1c,Quema biomasa tierras cultivo,0.0,50.24,19.23,69.47,66.98666666666666,16.438548387096773,83.42521505376344,afolu_agriculture,1.2318683050814063,102.7688782693314,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.7688782693314,central
3C4,N2O directas suelos gestionados,0.0,0.0,1079.06,1079.06,0.0,922.422258064516,922.422258064516,afolu_agriculture,1.2318683050814063,1136.302743611299,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1136.302743611299,central
3C5,N2O indirectas suelos gestionados,0.0,0.0,93.45,93.45,0.0,79.88467741935484,79.88467741935484,afolu_agriculture,1.2318683050814063,98.40740217455554,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.40740217455554,central
3C7,Cultivo de arroz,0.0,4.48,0.0,4.48,5.973333333333334,0.0,5.973333333333334,afolu_agriculture,1.2318683050814063,7.3583600090196,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3583600090196,central
4A,Eliminación de desechos,163.13,284.03,0.0,447.16,378.7066666666666,0.0,541.8366666666666,waste,1.239577958930967,671.6487893406253,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,671.6487893406253,central
4D1,Tratamiento aguas residuales,0.0,231.49,96.62,328.11,308.6533333333333,82.59451612903226,391.2478494623656,waste,1.239577958930967,484.9822106726894,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,484.9822106726894,central
1A1a,Generación de electricidad,13894.84,5.2,7.7,13907.74,6.933333333333334,6.58225806451613,13908.355591397847,electricity_generation,1.3193072302020017,16881.44256459549,True,True,1.0,1.0,0.09999999999999998,1.0,1688.1442564595488,15193.298308135943,0.0,0.0,0.0,0.0,0.0,0.0,low
1A1b,Refinación del petróleo,2948.8,1.1,1.63,2951.53,1.4666666666666668,1.3933870967741937,2951.6600537634413,petroleum_refining,1.3193072302020017,3582.614734026254,True,True,1.0,1.0,0.25,1.0,895.6536835065635,2686.9610505196906,0.0,0.0,0.0,0.0,0.0,0.0,low
1A2,Industrias manufactureras,1975.5,0.79,1.29,1977.58,1.0533333333333332,1.102741935483871,1977.6560752688167,manufacturing,1.3301459359419088,2420.1254959128714,True,True,0.5,0.5,0.12,0.5,145.20752975477228,1064.8552182016633,0.0,0.0,145.20752975477228,0.0,0.0,1064.8552182016633,low
1A3a,Aviación,239.96,0.0,0.0,239.96,0.0,0.0,239.96,transport,1.4819023923700982,327.14951422727853,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,327.14951422727853,0.0,0.0,0.0,low
1A3b,Transporte terrestre,6915.71,3.39,49.98,6969.08,4.52,42.72483870967742,6962.9548387096775,transport,1.4819023923700982,9492.945878772916,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9492.945878772916,0.0,0.0,0.0,low
1A3c,Ferrocarriles,48.51,0.05,5.8,54.36,0.0666666666666666,4.958064516129032,53.5347311827957,transport,1.4819023923700982,72.98658651750105,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,72.98658651750105,0.0,0.0,0.0,low
1A3d,Navegación marítima y fluvial,210.27,0.42,1.76,212.45,0.5599999999999999,1.5045161290322582,212.33451612903227,transport,1.4819023923700982,289.4863052396113,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,289.4863052396113,0.0,0.0,0.0,low
1A4a,Combustión comercial/institucional,74.31,0.12,0.04,74.47,0.1599999999999999,0.0341935483870967,74.5041935483871,other_energy,1.2354370225144111,84.68161991887622,False,False,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,77.90709032536613,0.0,0.0,6.774529593510094,low
1A4b_gn,Combustión residencial GN,100.19,0.19,0.06,100.44,0.2533333333333333,0.0512903225806451,100.49462365591395,other_energy,1.2354370225144111,114.22239633791517,False,False,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,105.08460463088196,0.0,0.0,9.137791707033209,low
1A4b_glp,Combustión residencial GLP,748.56,0.25,2.23,751.04,0.3333333333333333,1.906290322580645,750.7996236559139,other_energy,1.2354370225144111,853.3603994300506,False,False,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,785.0915674756466,0.0,0.0,68.268831954404,low
1A4c,Combustión agrícola,12.53,0.02,0.01,12.56,0.0266666666666666,0.0085483870967741,12.56521505376344,other_energy,1.2354370225144111,14.281649323412779,False,False,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,13.139117377539757,0.0,0.0,1.1425319458730216,low
1B2,Industria petróleo y gas natural,678.77,2932.51,0.41,3611.69,3910.013333333333,0.3504838709677419,4589.133817204301,fugitive_oil_gas,1.4400045408105349,6079.703652348466,True,True,0.6,0.6,0.0,0.6,0.0,3647.8221914090796,0.0,0.0,0.0,0.0,0.0,2431.8814609393867,low
2A4,Usos de caliza,50.14,0.0,0.0,50.14,0.0,0.0,50.14,ippu_caliza,0.8825271247739602,40.70991723327306,True,True,0.2,0.2,0.0,0.2,0.0,8.141983446654613,0.0,0.0,0.0,0.0,0.0,32.567933786618454,low
2B8,Negro de humo (carbon black),392.26,0.0,0.0,392.26,0.0,0.0,392.26,ippu_negro_humo,0.8825271247739602,318.48568276672694,True,True,0.7,0.7,0.0,0.7,0.0,222.93997793670883,0.0,0.0,0.0,0.0,0.0,95.5457048300181,low
2F1,Refrigeración y AC (HFC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,ippu_hfc,0.8825271247739602,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,low
3A1,Fermentación entérica,0.0,1733.39,0.0,1733.39,2311.1866666666665,0.0,2311.1866666666665,afolu_livestock,1.2318683050814063,2619.3113936499394,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2619.3113936499394,low
3A2,Manejo de estiércol,0.0,45.18,20.19,65.37,60.24,17.2591935483871,77.4991935483871,afolu_livestock,1.2318683050814063,87.83129618549728,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.83129618549728,low
3B,Cambios de uso de suelo,3669.07,0.0,0.0,3669.07,0.0,0.0,3669.07,afolu_land_use,0.9716249621838776,3279.7632000000003,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3279.7632000000003,low
3C1f,Quema biomasa tierras forestales,0.0,1.47,0.8,2.27,1.96,0.6838709677419356,2.643870967741936,afolu_agriculture,1.2318683050814063,2.9963487800553,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9963487800553,low
3C1c,Quema biomasa tierras cultivo,0.0,50.24,19.23,69.47,66.98666666666666,16.438548387096773,83.42521505376344,afolu_agriculture,1.2318683050814063,94.54736800778488,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.54736800778488,low
3C4,N2O directas suelos gestionados,0.0,0.0,1079.06,1079.06,0.0,922.422258064516,922.422258064516,afolu_agriculture,1.2318683050814063,1045.3985241223952,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1045.3985241223952,low
3C5,N2O indirectas suelos gestionados,0.0,0.0,93.45,93.45,0.0,79.88467741935484,79.88467741935484,afolu_agriculture,1.2318683050814063,90.53481000059111,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.53481000059111,low
3C7,Cultivo de arroz,0.0,4.48,0.0,4.48,5.973333333333334,0.0,5.973333333333334,afolu_agriculture,1.2318683050814063,6.769691208298033,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.769691208298033,low
4A,Eliminación de desechos,163.13,284.03,0.0,447.16,378.7066666666666,0.0,541.8366666666666,waste,1.239577958930967,617.9168861933753,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,617.9168861933753,low
4D1,Tratamiento aguas residuales,0.0,231.49,96.62,328.11,308.6533333333333,82.59451612903226,391.2478494623656,waste,1.239577958930967,446.1836338188743,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446.1836338188743,low
1A1a,Generación de electricidad,13894.84,5.2,7.7,13907.74,6.933333333333334,6.58225806451613,13908.355591397847,electricity_generation,1.3193072302020017,19817.34561930775,True,True,1.0,1.0,0.030000000000000027,1.0,594.5203685792331,19222.825250728518,0.0,0.0,0.0,0.0,0.0,0.0,high
1A1b,Refinación del petróleo,2948.8,1.1,1.63,2951.53,1.4666666666666668,1.3933870967741937,2951.6600537634413,petroleum_refining,1.3193072302020017,4205.67816603082,True,True,1.0,1.0,0.050000000000000044,1.0,210.2839083015412,3995.394257729279,0.0,0.0,0.0,0.0,0.0,0.0,high
1A2,Industrias manufactureras,1975.5,0.79,1.29,1977.58,1.0533333333333332,1.102741935483871,1977.6560752688167,manufacturing,1.3301459359419088,2841.0168865064143,True,True,0.8,0.8,0.030000000000000027,0.8,68.184405276154,2204.629103928977,0.0,0.0,17.0461013190385,0.0,0.0,551.1572759822443,high
1A3a,Aviación,239.96,0.0,0.0,239.96,0.0,0.0,239.96,transport,1.4819023923700982,384.0450819189791,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,384.0450819189791,0.0,0.0,0.0,high
1A3b,Transporte terrestre,6915.71,3.39,49.98,6969.08,4.52,42.72483870967742,6962.9548387096775,transport,1.4819023923700982,11143.892988124728,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11143.892988124728,0.0,0.0,0.0,high
1A3c,Ferrocarriles,48.51,0.05,5.8,54.36,0.0666666666666666,4.958064516129032,53.5347311827957,transport,1.4819023923700982,85.67990591184906,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,85.67990591184906,0.0,0.0,0.0,high
1A3d,Navegación marítima y fluvial,210.27,0.42,1.76,212.45,0.5599999999999999,1.5045161290322582,212.33451612903227,transport,1.4819023923700982,339.8317496291089,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,339.8317496291089,0.0,0.0,0.0,high
1A4a,Combustión comercial/institucional,74.31,0.12,0.04,74.47,0.1599999999999999,0.0341935483870967,74.5041935483871,other_energy,1.2354370225144111,99.4088581656373,False,False,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,79.52708653250984,0.0,0.0,19.881771633127457,high
1A4b_gn,Combustión residencial GN,100.19,0.19,0.06,100.44,0.2533333333333333,0.0512903225806451,100.49462365591395,other_energy,1.2354370225144111,134.08716091842217,False,False,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,107.26972873473773,0.0,0.0,26.817432183684424,high
1A4b_glp,Combustión residencial GLP,748.56,0.25,2.23,751.04,0.3333333333333333,1.906290322580645,750.7996236559139,other_energy,1.2354370225144111,1001.7709036787552,False,False,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,801.4167229430041,0.0,0.0,200.354180735751,high
1A4c,Combustión agrícola,12.53,0.02,0.01,12.56,0.0266666666666666,0.0085483870967741,12.56521505376344,other_energy,1.2354370225144111,16.76541442313674,False,False,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,13.412331538509394,0.0,0.0,3.3530828846273475,high
1B2,Industria petróleo y gas natural,678.77,2932.51,0.41,3611.69,3910.013333333333,0.3504838709677419,4589.133817204301,fugitive_oil_gas,1.4400045408105349,7137.043417974286,True,True,0.95,0.95,0.0,0.95,0.0,6780.1912470755715,0.0,0.0,0.0,0.0,0.0,356.8521708987151,high
2A4,Usos de caliza,50.14,0.0,0.0,50.14,0.0,0.0,50.14,ippu_caliza,0.8825271247739602,47.789902839059685,True,True,0.8,0.8,0.0,0.8,0.0,38.23192227124775,0.0,0.0,0.0,0.0,0.0,9.557980567811935,high
2B8,Negro de humo (carbon black),392.26,0.0,0.0,392.26,0.0,0.0,392.26,ippu_negro_humo,0.8825271247739602,373.87449716094034,True,True,1.0,1.0,0.0,1.0,0.0,373.87449716094034,0.0,0.0,0.0,0.0,0.0,0.0,high
2F1,Refrigeración y AC (HFC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,ippu_hfc,0.8825271247739602,0.0,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,high
3A1,Fermentación entérica,0.0,1733.39,0.0,1733.39,2311.1866666666665,0.0,2311.1866666666665,afolu_livestock,1.2318683050814063,3074.8438099368855,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3074.8438099368855,high
3A2,Manejo de estiércol,0.0,45.18,20.19,65.37,60.24,17.2591935483871,77.4991935483871,afolu_livestock,1.2318683050814063,103.10630421775768,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.10630421775768,high
3B,Cambios de uso de suelo,3669.07,0.0,0.0,3669.07,0.0,0.0,3669.07,afolu_land_use,0.9716249621838776,3850.1568,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3850.1568,high
3C1f,Quema biomasa tierras forestales,0.0,1.47,0.8,2.27,1.96,0.6838709677419356,2.643870967741936,afolu_agriculture,1.2318683050814063,3.5174529157170915,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5174529157170915,high
3C1c,Quema biomasa tierras cultivo,0.0,50.24,19.23,69.47,66.98666666666666,16.438548387096773,83.42521505376344,afolu_agriculture,1.2318683050814063,110.99038853087791,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.99038853087791,high
3C4,N2O directas suelos gestionados,0.0,0.0,1079.06,1079.06,0.0,922.422258064516,922.422258064516,afolu_agriculture,1.2318683050814063,1227.2069631002032,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1227.2069631002032,high
3C5,N2O indirectas suelos gestionados,0.0,0.0,93.45,93.45,0.0,79.88467741935484,79.88467741935484,afolu_agriculture,1.2318683050814063,106.27999434851999,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.27999434851999,high
3C7,Cultivo de arroz,0.0,4.48,0.0,4.48,5.973333333333334,0.0,5.973333333333334,afolu_agriculture,1.2318683050814063,7.947028809741169,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.947028809741169,high
4A,Eliminación de desechos,163.13,284.03,0.0,447.16,378.7066666666666,0.0,541.8366666666666,waste,1.239577958930967,725.3806924878753,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,725.3806924878753,high
4D1,Tratamiento aguas residuales,0.0,231.49,96.62,328.11,308.6533333333333,82.59451612903226,391.2478494623656,waste,1.239577958930967,523.7807875265046,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,523.7807875265046,high
